"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4,C5","3","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C2,C3","2","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"D1","1","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"D2,D3,D4","3","LED","","","","LED_THT:LED_D5.0mm",""
"D5,D6","2","D","","","","LED_THT:LED_D5.0mm",""
"J1","1","+12V","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J2","1","VIN_INPUT","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"R1,R2,R3,R5","4","1K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R4","1","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R6,R7","2","1M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"RV1,RV2","2","10K","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"U1","1","LM7810_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U2","1","LM393","","","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm393.pdf"
